ردیف,نام فارسی,برچسب موجود در CRM,نام انگلیسی / LogicalName,نوع فیلد انگلیسی,نوع فیلد فارسی,قابل خواندن,وضعیت نام فارسی
237,برچسب فارسی در CRM ثبت نشده,Order Old,brd_orderold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
238,برچسب فارسی در CRM ثبت نشده,Currency,transactioncurrencyid,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
239,آخرین تغییر‌دهنده,Modified By,modifiedby,Lookup,ارتباط با رکورد دیگر,بله,ترجمه کنترل‌شده
240,برچسب فارسی در CRM ثبت نشده,Service Activity count,brd_serviceactivitycount,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
241,برچسب فارسی در CRM ثبت نشده,ReleasePlan,brd_releaseplan,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
242,برچسب فارسی در CRM ثبت نشده,Plan Date,brd_plandate,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
243,شماره مورد,Case Number,ticketnumber,String,رشته‌ای,بله,ترجمه کنترل‌شده
244,برچسب فارسی در CRM ثبت نشده,ثبت نشده,firstresponsesentname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
245,برچسب فارسی در CRM ثبت نشده,ثبت نشده,routecasename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
246,برچسب فارسی در CRM ثبت نشده,Owning Business Unit,owningbusinessunit,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
247,برچسب فارسی در CRM ثبت نشده,TFSCreateDate,brd_tfscreatedate,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
248,حل‌شده از طریق Diag,Resolved By Diag,brd_resolvedbydiag,Boolean,بله/خیر,بله,ترجمه کنترل‌شده
249,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_versionname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
250,علت ریشه‌ای اصلی,Root Cause,brd_mainrootcause,Lookup,ارتباط با رکورد دیگر,بله,ترجمه کنترل‌شده
251,برچسب فارسی در CRM ثبت نشده,Service Activity Count 2 (Last Updated On),new_serviceactivitycount2_date,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
252,نسخه,Version,brd_version,Lookup,ارتباط با رکورد دیگر,بله,ترجمه کنترل‌شده
253,اولویت,Priority,prioritycode,Picklist,انتخابی,بله,ترجمه کنترل‌شده
254,یادداشت انتشار,ReleaseNote,brd_releasenote,Memo,متن بلند,بله,ترجمه کنترل‌شده
