ردیف,نام فارسی,برچسب موجود در CRM,نام انگلیسی / LogicalName,نوع فیلد انگلیسی,نوع فیلد فارسی,قابل خواندن,وضعیت نام فارسی
18,برچسب فارسی در CRM ثبت نشده,Diag,brd_diag,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
19,برچسب فارسی در CRM ثبت نشده,Billed Service Units,billedserviceunits,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
20,برچسب فارسی در CRM ثبت نشده,Service Old,brd_serviceold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
21,برچسب فارسی در CRM ثبت نشده,Ready For Install Date,brd_readyforinstalldate,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
22,برچسب فارسی در CRM ثبت نشده,ثبت نشده,createdonbehalfbyyominame,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
23,برچسب فارسی در CRM ثبت نشده,Internal Use Only,merged,Boolean,بله/خیر,بله,نیازمند تعیین برچسب توسط مالک CRM
24,برچسب فارسی در CRM ثبت نشده,Pargar Module Old,brd_pargarmoduleold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
25,برچسب فارسی در CRM ثبت نشده,Release Time,brd_releasetime,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
26,برچسب فارسی در CRM ثبت نشده,ثبت نشده,messagetypecodename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
27,برچسب فارسی در CRM ثبت نشده,Influence Score,influencescore,Double,عدد اعشاری دقیق,بله,نیازمند تعیین برچسب توسط مالک CRM
28,برچسب فارسی در CRM ثبت نشده,ثبت نشده,isdecrementingname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
29,حساب/سازمان مشتری,Account,accountid,Lookup,ارتباط با رکورد دیگر,بله,ترجمه کنترل‌شده
30,برچسب فارسی در CRM ثبت نشده,ثبت نشده,followuptaskcreatedname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
31,برچسب فارسی در CRM ثبت نشده,Effort For Sale,brd_effortforsale,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
32,درخواست Patch,Request Patch,brd_requestpatch,Boolean,بله/خیر,بله,ترجمه کنترل‌شده
33,برچسب فارسی در CRM ثبت نشده,Total Complete Service Activities Duration (Last Updated On),brd_totalcompleteserviceactivitiesduration_date,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
34,برچسب فارسی در CRM ثبت نشده,ORS Old,brd_orsold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
35,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_businesscategory1name,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
36,برچسب فارسی در CRM ثبت نشده,ثبت نشده,masteridname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
37,برچسب فارسی در CRM ثبت نشده,ثبت نشده,createdbyexternalpartyyominame,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
38,شناسه مورد,Case,incidentid,Uniqueidentifier,شناسه یکتا,بله,ترجمه کنترل‌شده
39,برچسب فارسی در CRM ثبت نشده,Voc Case Count (Last Updated On),brd_voccasecount_date,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
40,برچسب فارسی در CRM ثبت نشده,Project,brd_project,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
41,برچسب فارسی در CRM ثبت نشده,Responsible Contact Old,brd_responsiblecontactold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
42,تماس با مشتری انجام شده,Customer Contacted,customercontacted,Boolean,بله/خیر,بله,ترجمه کنترل‌شده
43,خدمت/محصول,ProductService,brd_productservice,Lookup,ارتباط با رکورد دیگر,بله,ترجمه کنترل‌شده
44,برچسب فارسی در CRM ثبت نشده,First Response By KPI,firstresponsebykpiid,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
45,برچسب فارسی در CRM ثبت نشده,Portal-Status,brd_portalstatus,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
46,برچسب فارسی در CRM ثبت نشده,Business Category 2,brd_businesscategory2,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
47,برچسب فارسی در CRM ثبت نشده,Voc Case Count,brd_voccasecount,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
48,برچسب فارسی در CRM ثبت نشده,Business Category 1,brd_businesscategory1,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
49,برچسب فارسی در CRM ثبت نشده,Deliverable Items,brd_deliverableitems,Memo,متن بلند,بله,نیازمند تعیین برچسب توسط مالک CRM
50,برچسب فارسی در CRM ثبت نشده,Service Activity Count 2 (State),new_serviceactivitycount2_state,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
51,برچسب فارسی در CRM ثبت نشده,Escalated On,escalatedon,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
52,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_deliverytimename,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
53,برچسب فارسی در CRM ثبت نشده,Real Start Date (State),brd_realstartdate_state,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
54,برچسب فارسی در CRM ثبت نشده,Exchange Rate,exchangerate,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
55,برچسب فارسی در CRM ثبت نشده,Assign To ProductOwner Date,brd_assigntoproductownerdate,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
56,برچسب فارسی در CRM ثبت نشده,Entitlement,entitlementid,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
57,برچسب فارسی در CRM ثبت نشده,Quote Product,brd_quoteproduct,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
58,برچسب فارسی در CRM ثبت نشده,Service Activity Count 2,new_serviceactivitycount2,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
59,برچسب فارسی در CRM ثبت نشده,ProductService Old,brd_productserviceold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
60,تاریخ پایان برنامه‌ریزی‌شده,Planned End Date,brd_plannedenddate,DateTime,تاریخ و زمان,بله,ترجمه کنترل‌شده
61,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_caseservicename,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
62,مشتری,Customer,customerid,Customer,مشتری/حساب/مخاطب,بله,ترجمه کنترل‌شده
63,برچسب فارسی در CRM ثبت نشده,ثبت نشده,transactioncurrencyidname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
64,برچسب فارسی در CRM ثبت نشده,TFS Effort,brd_tfseffort,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
65,برچسب فارسی در CRM ثبت نشده,Serial Number,productserialnumber,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
66,برچسب فارسی در CRM ثبت نشده,Delivery Time,brd_deliverytime,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
67,برچسب فارسی در CRM ثبت نشده,Real End Date (Last Updated On),brd_realenddate_date,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
68,برچسب فارسی در CRM ثبت نشده,First Response By,responseby,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
69,برچسب فارسی در CRM ثبت نشده,On Hold Time (Minutes),onholdtime,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
70,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_developmentteamname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
71,برچسب فارسی در CRM ثبت نشده,Opportunity Old,brd_opportunityold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
72,برچسب فارسی در CRM ثبت نشده,Letter Number,brd_letternumber,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
73,برچسب فارسی در CRM ثبت نشده,Responsible Contact,responsiblecontactid,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
74,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_requestpatchname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
75,نسخه رفع‌شده,Done Version,brd_doneversion,Lookup,ارتباط با رکورد دیگر,بله,ترجمه کنترل‌شده
76,برچسب فارسی در CRM ثبت نشده,Delivery Time Old,brd_deliverytimeold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
77,برچسب فارسی در CRM ثبت نشده,ثبت نشده,casetypecodename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
78,برچسب فارسی در CRM ثبت نشده,Entity Image,entityimage,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
79,برچسب فارسی در CRM ثبت نشده,TFSSprintMonth,brd_tfssprintmonth,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
80,برچسب فارسی در CRM ثبت نشده,Created On Old,brd_createdonold,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
81,برچسب فارسی در CRM ثبت نشده,Service Delivery Method,brd_servicedeliverymethod,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
82,برچسب فارسی در CRM ثبت نشده,ثبت نشده,createdbyexternalpartyname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
83,برچسب فارسی در CRM ثبت نشده,ثبت نشده,contractidname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
84,نوع رخداد,Incident Type,brd_incidenttype,Picklist,انتخابی,بله,ترجمه کنترل‌شده
85,برچسب فارسی در CRM ثبت نشده,Last Assign to Change time,brd_lastassigntochangetime,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
86,عنوان مورد,Case Title,title,String,رشته‌ای,بله,ترجمه کنترل‌شده
87,برچسب فارسی در CRM ثبت نشده,ثبت نشده,servicestagename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
88,برچسب فارسی در CRM ثبت نشده,TFS Sprint Change Log,brd_tfssprintchangelog,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
89,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_productcategoryname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
90,برچسب فارسی در CRM ثبت نشده,ثبت نشده,parentcaseidname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
91,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_servicename,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
92,برچسب فارسی در CRM ثبت نشده,Current Status Reason,brd_currentstatusreason,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
93,دسته‌بندی محصول,Product Category,brd_productcategory,Picklist,انتخابی,بله,ترجمه کنترل‌شده
94,برچسب فارسی در CRM ثبت نشده,ثبت نشده,modifiedbyyominame,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
95,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_incidenttypename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
96,برچسب فارسی در CRM ثبت نشده,Service Activity count (State),brd_serviceactivitycount_state,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
97,برچسب فارسی در CRM ثبت نشده,ثبت نشده,contractservicelevelcodename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
98,نوع مورد,Case Type,casetypecode,Picklist,انتخابی,بله,ترجمه کنترل‌شده
99,برچسب فارسی در CRM ثبت نشده,Related Case Count,brd_relatedcasecount,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
100,برچسب فارسی در CRM ثبت نشده,Check Email,checkemail,Boolean,بله/خیر,بله,نیازمند تعیین برچسب توسط مالک CRM
101,برچسب فارسی در CRM ثبت نشده,Traversed Path,traversedpath,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
102,برچسب فارسی در CRM ثبت نشده,Development Team,brd_developmentteam,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
103,برچسب فارسی در CRM ثبت نشده,Case Side Effect,brd_casesideeffect,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
104,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_workingonyominame,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
105,برچسب فارسی در CRM ثبت نشده,Is Milestone,brd_ismilestone,Boolean,بله/خیر,بله,نیازمند تعیین برچسب توسط مالک CRM
106,برچسب فارسی در CRM ثبت نشده,Hours Remaining,brd_hoursremaining,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
107,برچسب فارسی در CRM ثبت نشده,ثبت نشده,customercontactedname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
108,دارای یادداشت انتشار,HasReleaseNote,brd_hasreleasenote,Boolean,بله/خیر,بله,ترجمه کنترل‌شده
109,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_ordername,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
110,برچسب فارسی در CRM ثبت نشده,ثبت نشده,subjectidname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
111,برچسب فارسی در CRM ثبت نشده,ثبت نشده,owneridyominame,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
112,برچسب فارسی در CRM ثبت نشده,Total Service Activities Duration (Last Updated On),brd_totalserviceactivitiesduration_date,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
113,برچسب فارسی در CRM ثبت نشده,Old GUID,brd_oldguid,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
114,برچسب فارسی در CRM ثبت نشده,Last SLA applied,slainvokedid,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
115,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_customerfeedbackname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
116,برچسب فارسی در CRM ثبت نشده,Actual Service Units,actualserviceunits,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
117,برچسب فارسی در CRM ثبت نشده,ثبت نشده,modifiedbyname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
118,برچسب فارسی در CRM ثبت نشده,Employee Backlog Type,brd_employeebacklogtype,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
119,برچسب فارسی در CRM ثبت نشده,ثبت نشده,accountidyominame,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
120,برچسب فارسی در CRM ثبت نشده,Contract,contractid,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
121,برچسب فارسی در CRM ثبت نشده,ثبت نشده,entityimageid,Uniqueidentifier,شناسه یکتا,بله,نیازمند تعیین برچسب توسط مالک CRM
122,برچسب فارسی در CRM ثبت نشده,Suggested In Product,brd_suggestedinproduct,Boolean,بله/خیر,بله,نیازمند تعیین برچسب توسط مالک CRM
123,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_diagname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
124,مهلت پیگیری,Follow Up By,followupby,DateTime,تاریخ و زمان,بله,ترجمه کنترل‌شده
125,برچسب فارسی در CRM ثبت نشده,ثبت نشده,modifiedonbehalfbyname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
126,برچسب فارسی در CRM ثبت نشده,Customer Feedback,brd_customerfeedback,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
127,برچسب فارسی در CRM ثبت نشده,ثبت نشده,decremententitlementtermname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
128,نام حساب/سازمان,ثبت نشده,accountidname,String,رشته‌ای,بله,ترجمه کنترل‌شده
129,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_suggestedinproductname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
130,برچسب فارسی در CRM ثبت نشده,Actual Duration (min) (State),brd_actualdurationmin_state,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
131,برچسب فارسی در CRM ثبت نشده,PlanDate To DoneDate,brd_plandatetodonedate,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
132,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_doneversionname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
133,منشأ مورد,Origin,caseorigincode,Picklist,انتخابی,بله,ترجمه کنترل‌شده
134,برچسب فارسی در CRM ثبت نشده,UTC Conversion Time Zone Code,utcconversiontimezonecode,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
135,برچسب فارسی در CRM ثبت نشده,ثبت نشده,kbarticleidname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
136,برچسب فارسی در CRM ثبت نشده,ثبت نشده,customeridyominame,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
137,برچسب فارسی در CRM ثبت نشده,BackLogType,brd_backlogtype,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
138,فعالیت‌ها کامل شده‌اند,Activities Complete,activitiescomplete,Boolean,بله/خیر,بله,ترجمه کنترل‌شده
139,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_plannedcasename,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
140,برچسب فارسی در CRM ثبت نشده,ثبت نشده,statuscodename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
141,برچسب فارسی در CRM ثبت نشده,Owner Old,brd_ownerold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
142,تاریخ پایان واقعی,Real End Date,brd_realenddate,DateTime,تاریخ و زمان,بله,ترجمه کنترل‌شده
143,برچسب فارسی در CRM ثبت نشده,Knowledge Base Article,kbarticleid,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
144,سناریو,Scenario,brd_scenario,Memo,متن بلند,بله,ترجمه کنترل‌شده
145,برچسب فارسی در CRM ثبت نشده,Subject,subjectid,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
146,نشانی مقاله پایگاه دانش,Knowledge Base Artilcle URl,brd_knowledgebaseartilcleurl,String,رشته‌ای,بله,ترجمه کنترل‌شده
147,تاریخ ایجاد,Created On,createdon,DateTime,تاریخ و زمان,بله,ترجمه کنترل‌شده
148,برچسب فارسی در CRM ثبت نشده,Account Old,brd_accountold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
149,برچسب فارسی در CRM ثبت نشده,Modified By (Delegate),modifiedonbehalfby,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
150,برچسب فارسی در CRM ثبت نشده,ثبت نشده,blockedprofilename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
151,برچسب فارسی در CRM ثبت نشده,ثبت نشده,activitiescompletename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
152,برچسب فارسی در CRM ثبت نشده,Email Address,emailaddress,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
153,برچسب فارسی در CRM ثبت نشده,Route Case,routecase,Boolean,بله/خیر,بله,نیازمند تعیین برچسب توسط مالک CRM
154,برچسب فارسی در CRM ثبت نشده,ثبت نشده,firstresponseslastatusname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
155,برچسب فارسی در CRM ثبت نشده,Total Service Activities Duration (State),brd_totalserviceactivitiesduration_state,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
156,برچسب فارسی در CRM ثبت نشده,Working On Old,brd_workingonold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
157,برچسب فارسی در CRM ثبت نشده,Product,productid,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
158,برچسب فارسی در CRM ثبت نشده,ثبت نشده,mergedname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
159,برچسب فارسی در CRM ثبت نشده,Decrementing,isdecrementing,Boolean,بله/خیر,بله,نیازمند تعیین برچسب توسط مالک CRM
160,برچسب فارسی در CRM ثبت نشده,ثبت نشده,owneridtype,EntityName,نام موجودیت,بله,نیازمند تعیین برچسب توسط مالک CRM
161,برچسب فارسی در CRM ثبت نشده,Portal-StatusReason,brd_portalstatusreason,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
162,برچسب فارسی در CRM ثبت نشده,Develop Priority Number,brd_developprioritynumber,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
163,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_workingonname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
164,برچسب فارسی در CRM ثبت نشده,Satisfaction,customersatisfactioncode,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
165,مخاطب اصلی,Contact,primarycontactid,Lookup,ارتباط با رکورد دیگر,بله,ترجمه کنترل‌شده
166,برچسب فارسی در CRM ثبت نشده,TFSLink,brd_tfslink,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
167,برچسب فارسی در CRM ثبت نشده,Assign To Technical Date,brd_assigntotechnical,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
168,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_backlogsizename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
169,برچسب فارسی در CRM ثبت نشده,Service,brd_service,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
170,برچسب فارسی در CRM ثبت نشده,Developer Opinion,brd_developeropinion,Memo,متن بلند,بله,نیازمند تعیین برچسب توسط مالک CRM
171,برچسب فارسی در CRM ثبت نشده,TFS Sprint,brd_tfssprint,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
172,برچسب فارسی در CRM ثبت نشده,Plan Type,brd_plantype,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
173,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_backlogstatusreasonname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
174,برچسب فارسی در CRM ثبت نشده,Last Status Change Duration To Now,brd_laststatuschangedurationtonow,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
175,برچسب فارسی در CRM ثبت نشده,OrderItem Old,brd_orderitemold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
176,برچسب فارسی در CRM ثبت نشده,Blocked Profile,blockedprofile,Boolean,بله/خیر,بله,نیازمند تعیین برچسب توسط مالک CRM
177,برچسب فارسی در CRM ثبت نشده,Modified On Old,brd_modifiedonold,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
178,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_hastechnicaltaskname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
179,پیگیری مورد,Follow Case,brd_followcase,Picklist,انتخابی,بله,ترجمه کنترل‌شده
180,برچسب فارسی در CRM ثبت نشده,Voc Case Count (State),brd_voccasecount_state,Integer,عدد صحیح,بله,نیازمند تعیین برچسب توسط مالک CRM
181,برچسب فارسی در CRM ثبت نشده,ثبت نشده,resolvebykpiidname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
182,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_opportunityname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
183,برچسب فارسی در CRM ثبت نشده,Actual Duration (min),brd_actualdurationmin,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
184,برچسب فارسی در CRM ثبت نشده,Contract Line,contractdetailid,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
185,برچسب فارسی در CRM ثبت نشده,ثبت نشده,contactidname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
186,برچسب فارسی در CRM ثبت نشده,Process Id,processid,Uniqueidentifier,شناسه یکتا,بله,نیازمند تعیین برچسب توسط مالک CRM
187,تاریخ شروع واقعی,Real Start Date,brd_realstartdate,DateTime,تاریخ و زمان,بله,ترجمه کنترل‌شده
188,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_assigntoname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
189,برچسب فارسی در CRM ثبت نشده,ثبت نشده,contactidyominame,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
190,برچسب فارسی در CRM ثبت نشده,Project Priority Number,brd_projectprioritynumber,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
191,شدت,Severity,severitycode,Picklist,انتخابی,بله,ترجمه کنترل‌شده
192,برچسب فارسی در CRM ثبت نشده,Version Delivery Date,brd_versiondeliverydate,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
193,تاریخ آخرین Note,Last Note Date,brd_lastnotedate,DateTime,تاریخ و زمان,بله,ترجمه کنترل‌شده
194,برچسب فارسی در CRM ثبت نشده,Customer Id,rhs_customerid,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
195,ایجادکننده,Created By,createdby,Lookup,ارتباط با رکورد دیگر,بله,ترجمه کنترل‌شده
196,برچسب فارسی در CRM ثبت نشده,Responsible,brd_responsible,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
